indicator,County,Year,subgroup1,subgroup_cat1,subgroup2,subgroup_cat2,aaRate10K,aaRate10Kpy,count,cRate10K,cRate10Kpy,dailyMean
Hospitalizations,Broome,2014-2016,AgeGroup,35+,Total,,102.121,34.0402,1368,127.24,42.413,1.248
Hospitalizations,Broome,2015-2017,AgeGroup,35+,Total,,107.983,35.9945,1442,134.85,44.951,1.316
Hospitalizations,Broome,2016-2018,AgeGroup,35+,Total,,108.535,36.1785,1457,136.97,45.657,1.329
Hospitalizations,Cattaraugus,2000-2002,AgeGroup,35+,Total,,163.428,54.4759,789,175.42,58.473,0.72
Hospitalizations,Cattaraugus,2000-2018,AgeGroup,35+,Total,,817.692,43.0364,4139,920.38,48.441,0.596
Hospitalizations,Cattaraugus,2001-2003,AgeGroup,35+,Total,,167.532,55.8438,813,180.11,60.038,0.742
Hospitalizations,Cattaraugus,2002-2004,AgeGroup,35+,Total,,150.224,50.0745,732,161.73,53.91,0.668
Hospitalizations,Cattaraugus,2003-2005,AgeGroup,35+,Total,,144.768,48.2558,709,156.52,52.174,0.647
Hospitalizations,Cattaraugus,2004-2006,AgeGroup,35+,Total,,123.905,41.3016,608,134.41,44.804,0.555
Hospitalizations,Cattaraugus,2005-2007,AgeGroup,35+,Total,,117.929,39.3095,581,128.52,42.84,0.531
Hospitalizations,Cattaraugus,2006-2008,AgeGroup,35+,Total,,129.44,43.1468,648,143.32,47.774,0.591
Hospitalizations,Cattaraugus,2007-2009,AgeGroup,35+,Total,,132.4,44.1332,678,149.94,49.979,0.619
Hospitalizations,Cattaraugus,2008-2010,AgeGroup,35+,Total,,140.372,46.7908,727,160.89,53.63,0.663
Hospitalizations,Cattaraugus,2009-2011,AgeGroup,35+,Total,,121.821,40.6071,627,139.04,46.348,0.573
Hospitalizations,Cattaraugus,2010-2012,AgeGroup,35+,Total,,117.739,39.2462,605,134.42,44.806,0.552
Hospitalizations,Cattaraugus,2011-2013,AgeGroup,35+,Total,,109.945,36.6483,562,125.11,41.703,0.513
Hospitalizations,Cattaraugus,2012-2014,AgeGroup,35+,Total,,110.347,36.7822,566,126.19,42.064,0.516
Hospitalizations,Cattaraugus,2013-2015,AgeGroup,35+,Total,,105.691,35.2302,546,121.99,40.664,0.499
Hospitalizations,Cattaraugus,2014-2016,AgeGroup,35+,Total,,109.289,36.4296,565,126.6,42.199,0.516
Hospitalizations,Cattaraugus,2015-2017,AgeGroup,35+,Total,,114.613,38.2044,589,132.18,44.061,0.537
Hospitalizations,Cattaraugus,2016-2018,AgeGroup,35+,Total,,121.103,40.3678,619,139.08,46.359,0.565
Hospitalizations,Cayuga,2000-2002,AgeGroup,35+,Total,,204.415,68.1383,964,217.31,72.435,0.88
Hospitalizations,Cayuga,2000-2018,AgeGroup,35+,Total,,875.431,46.0753,4504,985.95,51.892,0.649
Hospitalizations,Cayuga,2001-2003,AgeGroup,35+,Total,,220.094,73.3647,1054,235.98,78.658,0.963
Hospitalizations,Cayuga,2002-2004,AgeGroup,35+,Total,,213.799,71.2664,1042,231.43,77.144,0.951
Hospitalizations,Cayuga,2003-2005,AgeGroup,35+,Total,,200.275,66.7582,995,219.27,73.091,0.908
Hospitalizations,Cayuga,2004-2006,AgeGroup,35+,Total,,186.397,62.1323,930,203.51,67.837,0.849
Hospitalizations,Cayuga,2005-2007,AgeGroup,35+,Total,,161.347,53.7824,820,178.29,59.43,0.749
Hospitalizations,Cayuga,2006-2008,AgeGroup,35+,Total,,139.071,46.3572,713,154.23,51.409,0.651
Hospitalizations,Cayuga,2007-2009,AgeGroup,35+,Total,,118.298,39.4325,618,133.43,44.477,0.564
Hospitalizations,Cayuga,2008-2010,AgeGroup,35+,Total,,106.42,35.4733,554,119.62,39.875,0.505
Hospitalizations,Cayuga,2009-2011,AgeGroup,35+,Total,,116.822,38.9405,613,132.62,44.208,0.56
Hospitalizations,Cayuga,2010-2012,AgeGroup,35+,Total,,134.971,44.9902,715,154.92,51.639,0.652
Hospitalizations,Cayuga,2011-2013,AgeGroup,35+,Total,,136.861,45.6204,726,157.49,52.495,0.662
Hospitalizations,Cayuga,2012-2014,AgeGroup,35+,Total,,117.424,39.1414,624,135.39,45.131,0.569
Hospitalizations,Cayuga,2013-2015,AgeGroup,35+,Total,,92.511,30.8371,496,107.82,35.939,0.453
Hospitalizations,Cayuga,2014-2016,AgeGroup,35+,Total,,80.751,26.9169,444,96.84,32.281,0.405
Hospitalizations,Cayuga,2015-2017,AgeGroup,35+,Total,,76.396,25.4653,418,91.4,30.466,0.381
Hospitalizations,Cayuga,2016-2018,AgeGroup,35+,Total,,76.653,25.5512,421,92.01,30.671,0.384
Hospitalizations,Chautauqua,2000-2002,AgeGroup,35+,Total,,120.973,40.3242,1056,139.85,46.615,0.964
Hospitalizations,Chautauqua,2000-2018,AgeGroup,35+,Total,,403.68,21.2463,3724,492.9,25.942,0.537
Hospitalizations,Chautauqua,2001-2003,AgeGroup,35+,Total,,102.329,34.1095,894,118.34,39.447,0.816
Hospitalizations,Chautauqua,2002-2004,AgeGroup,35+,Total,,90.045,30.015,795,105.13,35.045,0.725
Hospitalizations,Chautauqua,2003-2005,AgeGroup,35+,Total,,80.298,26.766,719,95.0,31.667,0.656
Hospitalizations,Chautauqua,2004-2006,AgeGroup,35+,Total,,70.573,23.5243,646,85.18,28.393,0.589
Hospitalizations,Chautauqua,2005-2007,AgeGroup,35+,Total,,66.199,22.0662,609,80.17,26.722,0.556
Hospitalizations,Chautauqua,2006-2008,AgeGroup,35+,Total,,62.319,20.773,576,75.7,25.232,0.526
Hospitalizations,Chautauqua,2007-2009,AgeGroup,35+,Total,,60.355,20.1183,554,72.77,24.256,0.505
Hospitalizations,Chautauqua,2008-2010,AgeGroup,35+,Total,,56.043,18.6809,519,68.18,22.725,0.474
Hospitalizations,Chautauqua,2009-2011,AgeGroup,35+,Total,,54.335,18.1118,505,66.39,22.13,0.461
Hospitalizations,Chautauqua,2010-2012,AgeGroup,35+,Total,,51.176,17.0588,482,63.47,21.158,0.44
Hospitalizations,Chautauqua,2011-2013,AgeGroup,35+,Total,,46.723,15.5745,442,58.34,19.448,0.403
Hospitalizations,Chautauqua,2012-2014,AgeGroup,35+,Total,,39.999,13.333,382,50.57,16.858,0.349
Hospitalizations,Chautauqua,2013-2015,AgeGroup,35+,Total,,37.243,12.4142,362,48.08,16.026,0.331
Hospitalizations,Chautauqua,2014-2016,AgeGroup,35+,Total,,40.825,13.6084,392,52.27,17.422,0.358
Hospitalizations,Chautauqua,2015-2017,AgeGroup,35+,Total,,39.374,13.1247,378,50.55,16.849,0.345
Hospitalizations,Chautauqua,2016-2018,AgeGroup,35+,Total,,38.034,12.6779,358,47.99,15.996,0.327
Hospitalizations,Chemung,2000-2002,AgeGroup,35+,Total,,135.667,45.2224,742,148.71,49.57,0.677
Hospitalizations,Chemung,2000-2018,AgeGroup,35+,Total,,724.437,38.1283,4177,835.69,43.984,0.602
Hospitalizations,Chemung,2001-2003,AgeGroup,35+,Total,,122.283,40.761,675,135.06,45.019,0.616
Hospitalizations,Chemung,2002-2004,AgeGroup,35+,Total,,114.571,38.1902,638,127.46,42.485,0.582
Hospitalizations,Chemung,2003-2005,AgeGroup,35+,Total,,114.52,38.1733,647,129.17,43.056,0.59
Hospitalizations,Chemung,2004-2006,AgeGroup,35+,Total,,112.297,37.4323,636,126.69,42.23,0.58
Hospitalizations,Chemung,2005-2007,AgeGroup,35+,Total,,107.493,35.831,613,121.82,40.607,0.56
Hospitalizations,Chemung,2006-2008,AgeGroup,35+,Total,,102.996,34.332,587,116.38,38.794,0.536
Hospitalizations,Chemung,2007-2009,AgeGroup,35+,Total,,107.392,35.7973,618,122.33,40.778,0.564
Hospitalizations,Chemung,2008-2010,AgeGroup,35+,Total,,104.218,34.7395,605,119.71,39.904,0.552
Hospitalizations,Chemung,2009-2011,AgeGroup,35+,Total,,103.229,34.4098,606,120.0,40.002,0.553
Hospitalizations,Chemung,2010-2012,AgeGroup,35+,Total,,108.12,36.04,631,125.23,41.742,0.576
Hospitalizations,Chemung,2011-2013,AgeGroup,35+,Total,,109.646,36.5486,636,126.62,42.206,0.58
Hospitalizations,Chemung,2012-2014,AgeGroup,35+,Total,,115.869,38.6231,678,135.54,45.181,0.619
Hospitalizations,Chemung,2013-2015,AgeGroup,35+,Total,,109.717,36.5725,651,130.75,43.584,0.595
Hospitalizations,Chemung,2014-2016,AgeGroup,35+,Total,,110.5,36.8334,656,132.4,44.133,0.599
Hospitalizations,Chemung,2015-2017,AgeGroup,35+,Total,,117.153,39.051,687,139.26,46.421,0.627
Hospitalizations,Chemung,2016-2018,AgeGroup,35+,Total,,120.701,40.2336,704,143.42,47.807,0.642
Hospitalizations,Chenango,2000-2002,AgeGroup,35+,Total,,166.515,55.5051,510,178.13,59.376,0.465
Hospitalizations,Chenango,2000-2018,AgeGroup,35+,Total,,829.309,43.6478,2782,946.21,49.8,0.401
Hospitalizations,Chenango,2001-2003,AgeGroup,35+,Total,,155.603,51.8675,483,167.45,55.817,0.441
Hospitalizations,Chenango,2002-2004,AgeGroup,35+,Total,,157.718,52.5727,497,170.9,56.967,0.453
Hospitalizations,Chenango,2003-2005,AgeGroup,35+,Total,,146.439,48.8129,469,160.16,53.385,0.428
Hospitalizations,Chenango,2004-2006,AgeGroup,35+,Total,,127.975,42.6582,417,141.12,47.039,0.38
Hospitalizations,Chenango,2005-2007,AgeGroup,35+,Total,,117.195,39.0649,389,130.44,43.481,0.355
Hospitalizations,Chenango,2006-2008,AgeGroup,35+,Total,,122.857,40.9523,412,137.06,45.686,0.376
Hospitalizations,Chenango,2007-2009,AgeGroup,35+,Total,,126.906,42.3019,424,141.05,47.018,0.387
Hospitalizations,Chenango,2008-2010,AgeGroup,35+,Total,,129.667,43.2222,435,144.97,48.323,0.397
Hospitalizations,Chenango,2009-2011,AgeGroup,35+,Total,,131.08,43.6934,438,146.41,48.805,0.4
Hospitalizations,Chenango,2010-2012,AgeGroup,35+,Total,,130.172,43.3908,447,149.71,49.903,0.408
Hospitalizations,Chenango,2011-2013,AgeGroup,35+,Total,,125.328,41.776,433,145.54,48.515,0.395
Hospitalizations,Chenango,2012-2014,AgeGroup,35+,Total,,123.27,41.09,432,145.72,48.573,0.394
Hospitalizations,Chenango,2013-2015,AgeGroup,35+,Total,,117.257,39.0856,412,139.68,46.558,0.376
Hospitalizations,Chenango,2014-2016,AgeGroup,35+,Total,,113.487,37.8289,405,138.18,46.06,0.37
Hospitalizations,Chenango,2015-2017,AgeGroup,35+,Total,,109.692,36.5639,390,134.11,44.702,0.356
Hospitalizations,Chenango,2016-2018,AgeGroup,35+,Total,,111.55,37.1833,389,134.55,44.85,0.355
Hospitalizations,Clinton,2000-2002,AgeGroup,35+,Total,,171.743,57.2476,672,161.93,53.978,0.613
Hospitalizations,Clinton,2000-2018,AgeGroup,35+,Total,,663.807,34.9372,3048,690.76,36.356,0.439
Hospitalizations,Clinton,2001-2003,AgeGroup,35+,Total,,178.645,59.5484,707,168.17,56.057,0.646
Hospitalizations,Clinton,2002-2004,AgeGroup,35+,Total,,164.493,54.831,665,156.22,52.072,0.607
Hospitalizations,Clinton,2003-2005,AgeGroup,35+,Total,,141.462,47.154,587,136.18,45.393,0.536
Hospitalizations,Clinton,2004-2006,AgeGroup,35+,Total,,119.111,39.7036,509,116.57,38.857,0.464
Hospitalizations,Clinton,2005-2007,AgeGroup,35+,Total,,103.915,34.6385,455,103.08,34.362,0.416
Hospitalizations,Clinton,2006-2008,AgeGroup,35+,Total,,79.766,26.5886,355,79.83,26.609,0.324
Hospitalizations,Clinton,2007-2009,AgeGroup,35+,Total,,69.846,23.2821,317,70.93,23.644,0.289
Hospitalizations,Clinton,2008-2010,AgeGroup,35+,Total,,67.287,22.429,311,69.38,23.126,0.284
Hospitalizations,Clinton,2009-2011,AgeGroup,35+,Total,,64.713,21.5712,304,67.69,22.563,0.278
Hospitalizations,Clinton,2010-2012,AgeGroup,35+,Total,,63.106,21.0352,303,67.39,22.463,0.276
Hospitalizations,Clinton,2011-2013,AgeGroup,35+,Total,,62.475,20.8251,307,68.18,22.726,0.28
Hospitalizations,Clinton,2012-2014,AgeGroup,35+,Total,,87.228,29.0759,432,95.76,31.921,0.394
Hospitalizations,Clinton,2013-2015,AgeGroup,35+,Total,,102.952,34.3172,518,114.8,38.265,0.473
Hospitalizations,Clinton,2014-2016,AgeGroup,35+,Total,,123.327,41.1091,619,137.23,45.744,0.565
Hospitalizations,Clinton,2015-2017,AgeGroup,35+,Total,,120.086,40.0287,613,135.66,45.22,0.559
Hospitalizations,Clinton,2016-2018,AgeGroup,35+,Total,,93.73,31.2435,485,106.98,35.659,0.443
Hospitalizations,Columbia,2000-2002,AgeGroup,35+,Total,,115.353,38.451,467,125.58,41.861,0.426
Hospitalizations,Columbia,2000-2018,AgeGroup,35+,Total,,576.447,30.3393,2601,670.7,35.3,0.375
Hospitalizations,Columbia,2001-2003,AgeGroup,35+,Total,,112.74,37.58,465,124.14,41.379,0.425
Hospitalizations,Columbia,2002-2004,AgeGroup,35+,Total,,118.943,39.6476,496,130.96,43.653,0.453
Hospitalizations,Columbia,2003-2005,AgeGroup,35+,Total,,117.617,39.2058,496,129.57,43.191,0.453
Hospitalizations,Columbia,2004-2006,AgeGroup,35+,Total,,117.386,39.1285,498,128.95,42.984,0.454
Hospitalizations,Columbia,2005-2007,AgeGroup,35+,Total,,106.181,35.3936,455,117.11,39.037,0.416
Hospitalizations,Columbia,2006-2008,AgeGroup,35+,Total,,98.108,32.7026,428,109.62,36.54,0.391
Hospitalizations,Columbia,2007-2009,AgeGroup,35+,Total,,86.736,28.9121,386,98.36,32.786,0.352
Hospitalizations,Columbia,2008-2010,AgeGroup,35+,Total,,88.865,29.6217,402,101.91,33.97,0.367
Hospitalizations,Columbia,2009-2011,AgeGroup,35+,Total,,89.392,29.7973,409,103.44,34.479,0.374
Hospitalizations,Columbia,2010-2012,AgeGroup,35+,Total,,84.06,28.0201,392,98.99,32.997,0.358
Hospitalizations,Columbia,2011-2013,AgeGroup,35+,Total,,78.26,26.0866,371,93.87,31.29,0.339
Hospitalizations,Columbia,2012-2014,AgeGroup,35+,Total,,71.066,23.6888,346,87.67,29.222,0.316
Hospitalizations,Columbia,2013-2015,AgeGroup,35+,Total,,71.576,23.8586,348,88.37,29.455,0.318
Hospitalizations,Columbia,2014-2016,AgeGroup,35+,Total,,66.014,22.0045,328,83.59,27.864,0.299
Hospitalizations,Columbia,2015-2017,AgeGroup,35+,Total,,67.922,22.6406,343,87.7,29.235,0.313
Hospitalizations,Columbia,2016-2018,AgeGroup,35+,Total,,67.277,22.4257,347,88.99,29.665,0.317
Hospitalizations,Cortland,2000-2002,AgeGroup,35+,Total,,141.469,47.1564,357,149.06,49.688,0.326
Hospitalizations,Cortland,2000-2018,AgeGroup,35+,Total,,752.886,39.6256,2040,827.15,43.534,0.294
Hospitalizations,Cortland,2001-2003,AgeGroup,35+,Total,,141.555,47.1849,361,149.6,49.868,0.33
Hospitalizations,Cortland,2002-2004,AgeGroup,35+,Total,,156.683,52.2277,405,166.41,55.47,0.37
Hospitalizations,Cortland,2003-2005,AgeGroup,35+,Total,,148.737,49.5791,387,157.63,52.544,0.353
Hospitalizations,Cortland,2004-2006,AgeGroup,35+,Total,,137.406,45.802,358,144.77,48.256,0.327
Hospitalizations,Cortland,2005-2007,AgeGroup,35+,Total,,125.486,41.8286,332,133.36,44.454,0.303
Hospitalizations,Cortland,2006-2008,AgeGroup,35+,Total,,121.817,40.6056,328,131.0,43.666,0.299
Hospitalizations,Cortland,2007-2009,AgeGroup,35+,Total,,126.386,42.1288,345,137.4,45.8,0.315
Hospitalizations,Cortland,2008-2010,AgeGroup,35+,Total,,115.708,38.5694,315,125.55,41.852,0.287
Hospitalizations,Cortland,2009-2011,AgeGroup,35+,Total,,115.4,38.4668,317,126.73,42.243,0.289
Hospitalizations,Cortland,2010-2012,AgeGroup,35+,Total,,113.917,37.9724,317,127.16,42.388,0.289
Hospitalizations,Cortland,2011-2013,AgeGroup,35+,Total,,109.182,36.394,302,121.54,40.515,0.276
Hospitalizations,Cortland,2012-2014,AgeGroup,35+,Total,,95.043,31.681,268,108.03,36.009,0.245
Hospitalizations,Cortland,2013-2015,AgeGroup,35+,Total,,83.885,27.9615,233,94.05,31.351,0.213
Hospitalizations,Cortland,2014-2016,AgeGroup,35+,Total,,88.302,29.4341,250,101.2,33.732,0.228
Hospitalizations,Cortland,2015-2017,AgeGroup,35+,Total,,98.156,32.7185,275,111.64,37.214,0.251
Hospitalizations,Cortland,2016-2018,AgeGroup,35+,Total,,111.732,37.2441,311,126.49,42.163,0.284
Hospitalizations,Delaware,2000-2002,AgeGroup,35+,Total,,142.271,47.4237,485,171.24,57.081,0.443
Hospitalizations,Delaware,2000-2018,AgeGroup,35+,Total,,720.724,37.9328,2564,887.27,46.699,0.369
Hospitalizations,Delaware,2001-2003,AgeGroup,35+,Total,,147.126,49.0421,504,177.0,58.998,0.46
Hospitalizations,Delaware,2002-2004,AgeGroup,35+,Total,,143.66,47.8868,498,173.4,57.799,0.454
Hospitalizations,Delaware,2003-2005,AgeGroup,35+,Total,,135.535,45.1785,474,163.29,54.431,0.432
Hospitalizations,Delaware,2004-2006,AgeGroup,35+,Total,,127.163,42.3877,450,153.56,51.188,0.411
Hospitalizations,Delaware,2005-2007,AgeGroup,35+,Total,,110.576,36.8588,393,133.28,44.426,0.359
Hospitalizations,Delaware,2006-2008,AgeGroup,35+,Total,,109.787,36.5956,382,129.36,43.119,0.349
Hospitalizations,Delaware,2007-2009,AgeGroup,35+,Total,,106.436,35.4787,368,124.47,41.489,0.336
Hospitalizations,Delaware,2008-2010,AgeGroup,35+,Total,,108.061,36.0203,377,127.8,42.601,0.344
Hospitalizations,Delaware,2009-2011,AgeGroup,35+,Total,,100.176,33.3919,359,122.16,40.72,0.328
Hospitalizations,Delaware,2010-2012,AgeGroup,35+,Total,,99.135,33.0449,360,123.25,41.082,0.328
Hospitalizations,Delaware,2011-2013,AgeGroup,35+,Total,,100.989,33.6631,358,123.38,41.125,0.327
Hospitalizations,Delaware,2012-2014,AgeGroup,35+,Total,,101.128,33.7095,364,126.08,42.026,0.332
Hospitalizations,Delaware,2013-2015,AgeGroup,35+,Total,,98.138,32.7126,351,122.17,40.723,0.321
Hospitalizations,Delaware,2014-2016,AgeGroup,35+,Total,,97.203,32.4011,356,124.4,41.468,0.325
Hospitalizations,Delaware,2015-2017,AgeGroup,35+,Total,,104.239,34.7462,371,130.28,43.427,0.339
Hospitalizations,Delaware,2016-2018,AgeGroup,35+,Total,,107.39,35.7967,386,136.25,45.417,0.352
Hospitalizations,Dutchess,2000-2002,AgeGroup,35+,Total,,131.878,43.9594,1891,124.26,41.42,1.725
Hospitalizations,Dutchess,2000-2018,AgeGroup,35+,Total,,567.671,29.8774,9801,596.16,31.377,1.412
Hospitalizations,Dutchess,2001-2003,AgeGroup,35+,Total,,131.418,43.8059,1932,124.66,41.553,1.764
Hospitalizations,Dutchess,2002-2004,AgeGroup,35+,Total,,125.465,41.8217,1888,119.91,39.971,1.723
Hospitalizations,Dutchess,2003-2005,AgeGroup,35+,Total,,117.162,39.0539,1811,113.39,37.795,1.652
Hospitalizations,Dutchess,2004-2006,AgeGroup,35+,Total,,103.749,34.5831,1638,101.28,33.762,1.495
Hospitalizations,Dutchess,2005-2007,AgeGroup,35+,Total,,92.124,30.7081,1484,90.83,30.278,1.355
Hospitalizations,Dutchess,2006-2008,AgeGroup,35+,Total,,82.595,27.5317,1359,82.51,27.502,1.24
Hospitalizations,Dutchess,2007-2009,AgeGroup,35+,Total,,75.849,25.283,1276,76.98,25.661,1.164
Hospitalizations,Dutchess,2008-2010,AgeGroup,35+,Total,,73.003,24.3345,1257,75.41,25.138,1.147
